Ref,Val,Package,MidX,MidY,Rotation,Side
"BT1","CR2032","Keystone_3034_2032",155.702000,-96.012000,-135.000000,top
"C1","2u2","C_0805",237.910000,-128.270000,180.000000,top
"C2","2u2","C_0805",227.965000,-124.460000,0.000000,top
"C3","2u2","C_0805",233.680000,-103.275500,-90.000000,top
"C4","2u2","C_0805",220.560000,-83.820000,0.000000,top
"C5","2u2","C_0805",214.210000,-83.820000,0.000000,top
"C6","2u2","C_0805",199.810000,-83.820000,180.000000,top
"C7","2u2","C_0805",193.040000,-107.530000,-90.000000,top
"C8","10u","C_0805",169.696500,-113.792000,0.000000,top
"C9","2u2","C_0805",161.505000,-111.760000,0.000000,top
"C10","10u","C_0805",144.750459,-105.761459,135.000000,top
"C11","2u2","C_0805",169.500000,-99.350000,90.000000,top
"C12","10u","C_0805",152.615000,-111.760000,0.000000,top
"C13","10u","C_0805",169.800000,-106.999999,180.000000,top
"C14","10u","C_0805",157.060000,-111.760000,0.000000,top
"C15","10u","C_0805",180.301000,-102.235000,0.000000,top
"C16","10u","C_0805",181.317000,-85.725000,0.000000,top
"C17","10u","C_0805",171.108000,-85.725000,180.000000,top
"C18","2u2","C_0805",175.553000,-129.159000,180.000000,top
"C19","2u2","C_0805",217.590000,-128.270000,0.000000,top
"C20","2u2","C_0805",219.900500,-124.460000,0.000000,top
"C21","2u2","C_0805",221.830000,-128.270000,180.000000,top
"C22","2u2","C_0805",208.109000,-124.460000,0.000000,top
"C23","22p","C_0603",242.950000,-105.900000,0.000000,top
"C24","22p","C_0603",243.150000,-111.750000,180.000000,top
"C25","100n","C_0603",241.173000,-115.050000,-90.000000,top
"C26","2u2","C_0805",171.616000,-129.159000,0.000000,top
"C27","2u2","C_0805",235.101500,-120.078500,0.000000,top
"C28","2u2","C_0805",238.800000,-86.350000,0.000000,top
"C29","10u","C_0805",184.550000,-84.550000,90.000000,top
"C30","2u2","C_0805",241.250000,-124.150000,90.000000,top
"FID1","Fiducial","Fiducial",244.602000,-82.423000,-90.000000,top
"FID2","Fiducial","Fiducial",142.113000,-96.139000,90.000000,top
"FID3","Fiducial","Fiducial",155.829000,-82.423000,90.000000,top
"FID4","Fiducial","Fiducial",244.602000,-129.540000,0.000000,top
"FID5","Fiducial","Fiducial",142.113000,-129.540000,0.000000,top
"J2","microUSB","USB_Micro-B_Amphenol_10118192-0001",234.800000,-81.300000,180.000000,top
"R1","DNP","R_0805",243.903500,-119.065000,-90.000000,top
"R2","4k7","R_0805",204.790000,-83.820000,0.000000,top
"R3","1k","R_0805",241.808000,-119.065000,90.000000,top
"R4","22k","R_0805",210.246000,-83.820000,0.000000,top
"R5","4k7","R_0805",224.472500,-83.820000,0.000000,top
"R6","1k","R_0805",233.807000,-126.682500,-90.000000,top
"R7","DNP","R_0805",169.796500,-111.252000,0.000000,top
"R8","0","R_0805",169.796500,-109.220000,0.000000,top
"R9","15","R_0805",166.941500,-113.096000,90.000000,top
"R10","22k","R_0805",238.760000,-120.078500,180.000000,top
"R11","22k","R_0805",191.960500,-97.599500,180.000000,top
"R12","15","R_0805",234.061000,-106.362500,180.000000,top
"R13","22k","R_0805",235.143000,-122.745500,0.000000,top
"R15","4k7","R_0805",196.151500,-83.820000,180.000000,top
"R16","15","R_0805",192.214500,-83.820000,180.000000,top
"SW1","Mode","SW_DIP_SPSTx02_Slide_DSHP02TS_P1.27mm",234.315000,-94.107000,0.000000,top
"U1","EPM7128SL84","PLCC-84",213.360000,-104.140000,180.000000,top
"U2","DS1315S-5","SOIC-16_7.5mm",155.956000,-118.745000,-90.000000,top
"U3","74LVC04AD","SOIC-14_3.9mm",166.370000,-119.380000,-90.000000,top
"U4","AS6C8008","TSOP-II-44_400mil_P0.8mm",180.000000,-94.000000,0.000000,top
"U5","39F040","PLCC-32_SMDSocket",181.610000,-114.300000,-90.000000,top
"U6","XC6206P332MR","SOT-23",169.800000,-103.500000,-90.000000,top
"U7","CH340G","SOIC-16_3.9mm",236.726500,-113.665000,90.000000,top
"U8","74LVC1G74DC","NXP_VSSOP-8_2.3x2mm",188.050000,-84.600000,180.000000,top
"U9","74AHCT1G125GW","SOT-353",238.750000,-124.150000,180.000000,top
"Y2","12M","Crystal_SMD_3225-4Pin_3.2x2.5mm",243.049400,-108.749400,90.000000,top
